time/time_elapsed,rollout/ep_len_mean,time/episodes,time/total_timesteps,train/learning_rate,train/ent_coef_loss,train/n_updates,train/critic_loss,train/ent_coef,train/actor_loss,time/fps,rollout/ep_rew_mean
38,545.0,4,2180,0.0003,-3.079965591430664,2079,0.07142812013626099,0.5366261005401611,-13.617497444152832,56,-66.941
58,398.875,8,3191,0.0003,-4.513031005859375,3090,0.8246700763702393,0.39705953001976013,-16.216041564941406,54,-44.938565125
84,384.9166666666667,12,4619,0.0003,-6.49091911315918,4518,0.1162116602063179,0.26005131006240845,-17.988189697265625,54,-38.81109375
104,352.625,16,5642,0.0003,-7.608797550201416,5541,0.7067277431488037,0.192613884806633,-18.38978385925293,54,-32.9808266875
121,325.0,20,6500,0.0003,-8.181045532226562,6399,1.4373615980148315,0.15021173655986786,-17.938465118408203,53,-27.7163183
168,379.1666666666667,24,9100,0.0003,-10.40560245513916,8999,0.7653881311416626,0.07152991741895676,-16.383453369140625,54,-27.714796416666662
259,510.7142857142857,28,14300,0.0003,-9.405942916870117,14199,0.3531416654586792,0.01704513654112816,-12.938716888427734,55,-26.73267167857143
296,508.6875,32,16278,0.0003,-4.512781620025635,16177,0.029896719381213188,0.010765929706394672,-11.710139274597168,54,-23.56045953125
312,474.19444444444446,36,17071,0.0003,-3.557465076446533,16970,0.5285954475402832,0.009435332380235195,-11.328721046447754,54,-20.756639944444444
329,448.275,40,17931,0.0003,-2.5419068336486816,17830,0.045950233936309814,0.008204414509236813,-10.920103073120117,54,-18.569119524999998
351,433.75,44,19085,0.0003,-3.322323799133301,18984,0.023453079164028168,0.0066827163100242615,-10.269046783447266,54,-16.83345790909091
374,422.4375,48,20277,0.0003,-3.459606170654297,20176,0.02114308439195156,0.005453598219901323,-9.771528244018555,54,-15.423158166666667
400,416.4423076923077,52,21655,0.0003,0.6483424305915833,21554,0.10842789709568024,0.004588058218359947,-8.977209091186523,54,-14.218979596153845
455,441.07142857142856,56,24700,0.0003,-1.5695744752883911,24599,0.23395034670829773,0.003496384248137474,-7.603092193603516,54,-13.546736321428572
525,476.6666666666667,60,28600,0.0003,0.8399852514266968,28499,0.006637607701122761,0.0035803690552711487,-6.094311714172363,54,-13.196047766666668
550,467.1875,64,29900,0.0003,-2.835623025894165,29799,0.006571299396455288,0.003663569688796997,-5.79888916015625,54,-12.475569109375
595,475.8382352941176,68,32357,0.0003,0.6809208989143372,32256,0.012242721393704414,0.003195510245859623,-4.993454933166504,54,-12.234024779411765
628,473.30555555555554,72,34078,0.0003,-0.9755443930625916,33977,0.005612075328826904,0.0030117440037429333,-4.620485782623291,54,-11.690082347222223
648,461.8421052631579,76,35100,0.0003,0.6826579570770264,34999,0.005149459466338158,0.003319479525089264,-4.338475704193115,54,-11.199735539473684
658,444.5625,80,35565,0.0003,-0.9326252937316895,35464,0.017604004591703415,0.0032788359094411135,-4.257857799530029,54,-10.7587694125
671,430.51190476190476,84,36163,0.0003,1.180734395980835,36062,0.0057906582951545715,0.0032947640866041183,-4.20998477935791,53,-10.368472476190476
695,424.96590909090907,88,37397,0.0003,-0.4577755928039551,37296,0.09648074209690094,0.003301232121884823,-4.083230972290039,53,-10.428010556818181
720,420.9130434782609,92,38724,0.0003,-2.6046385765075684,38623,0.012204274535179138,0.0032142738346010447,-3.729278802871704,53,-10.412261913043478
733,409.21875,96,39285,0.0003,-1.8194001913070679,39184,0.0031885788775980473,0.003202765481546521,-3.7891907691955566,53,-10.08261071875
745,398.69,100,39869,0.0003,-1.5169404745101929,39768,0.004895609803497791,0.003236014861613512,-3.571958541870117,53,-9.76490541
757,382.63,104,40443,0.0003,-1.884972095489502,40342,0.013735422864556313,0.0031417098361998796,-3.548295259475708,53,-7.205611039999999
770,378.65,108,41056,0.0003,0.7221633791923523,40955,0.003966675139963627,0.003096379805356264,-3.299687385559082,53,-6.346732570000001
782,369.81,112,41600,0.0003,-0.014245033264160156,41499,0.011323070153594017,0.00296893366612494,-3.362243175506592,53,-5.333246230000001
795,365.49,116,42191,0.0003,-0.055449411273002625,42090,0.003299368778243661,0.0028980004135519266,-3.3252005577087402,53,-4.803705410000001
808,363.28,120,42828,0.0003,0.6215708255767822,42727,0.025628307834267616,0.002821303205564618,-3.112661838531494,52,-4.61186359
821,342.87,124,43387,0.0003,-2.1376664638519287,43286,0.0031211702153086662,0.0027157096192240715,-3.055265426635742,52,-3.5673391699999994
834,297.14,128,44014,0.0003,-1.0617108345031738,43913,0.002344632986932993,0.002587659051641822,-2.8893914222717285,52,-2.78378243
845,282.52,132,44530,0.0003,-0.2126782387495041,44429,0.0026976128574460745,0.0025037075392901897,-2.8968284130096436,52,-2.77844623
913,310.29,136,48100,0.0003,-0.1226089596748352,47999,0.0031076623126864433,0.002029876224696636,-2.3437397480010986,52,-3.02934948
1008,353.69,140,53300,0.0003,0.3456718921661377,53199,0.0016703137662261724,0.0015543969348073006,-1.6997346878051758,52,-2.60061182
1105,394.15,144,58500,0.0003,-0.1111144870519638,58399,0.0012500227894634008,0.0014641153393313289,-1.3966505527496338,52,-1.87311943
1204,434.23,148,63700,0.0003,0.1096266508102417,63599,0.0011647464707493782,0.0015221255598589778,-1.199324607849121,52,-0.6809923300000001
1301,472.45,152,68900,0.0003,0.16639307141304016,68799,0.0012125507928431034,0.0014870328595861793,-1.1144592761993408,52,0.2800239000000001
1330,456.75,156,70375,0.0003,-0.8855571746826172,70274,0.0014986008172854781,0.0014641948509961367,-1.1361351013183594,52,0.5962610100000002
1349,426.79,160,71279,0.0003,-0.020669132471084595,71178,0.0015054064569994807,0.0014747059904038906,-1.1061056852340698,52,0.96189272
1365,421.23,164,72023,0.0003,0.32022738456726074,71922,0.02209094539284706,0.0013904167572036386,-1.0013011693954468,52,1.0533224300000001
1381,404.43,168,72800,0.0003,0.7570227384567261,72699,0.0047006551176309586,0.0013998046051710844,-0.9917558431625366,52,1.44835205
1399,396.12,172,73690,0.0003,-0.8061349987983704,73589,0.0012976573780179024,0.0014378872001543641,-1.0796945095062256,52,1.6024432
1413,391.94,176,74294,0.0003,-0.31628555059432983,74193,0.0014016249915584922,0.001475929981097579,-0.9885925650596619,52,1.7198500300000001
1429,394.92,180,75057,0.0003,0.19188523292541504,74956,0.0249832384288311,0.001577937277033925,-0.9393370151519775,52,1.8379527599999996
1445,396.42,184,75805,0.0003,-1.4715278148651123,75704,0.0011658717412501574,0.0016214156057685614,-0.9174469709396362,52,1.9702962799999997
1463,392.48,188,76645,0.0003,-1.2982101440429688,76544,0.001543971593491733,0.0015636611497029662,-0.9777260422706604,52,2.4788257799999998
1480,387.41,192,77465,0.0003,0.36493614315986633,77364,0.0013858024030923843,0.001626913552172482,-0.8787778615951538,52,2.9434171400000007
1497,389.94,196,78279,0.0003,-1.097541332244873,78178,0.002076511736959219,0.0015009328490123153,-0.9302390813827515,52,3.12885511
1542,407.31,200,80600,0.0003,0.4580424726009369,80499,0.09412366896867752,0.001621375442482531,-0.9345581531524658,52,4.10316036
1567,414.57,204,81900,0.0003,0.7545751929283142,81799,0.0033762434031814337,0.0016235873335972428,-1.0432701110839844,52,4.89413797
1614,433.05,208,84361,0.0003,-0.6584851741790771,84260,0.0013976970221847296,0.0020869383588433266,-1.173054814338684,52,6.53732167
1642,442.0,212,85800,0.0003,1.0645339488983154,85699,0.0019141698721796274,0.0019153032917529345,-1.2624249458312988,52,7.432432439999999
1677,454.8,216,87671,0.0003,0.7665730118751526,87570,0.002945865737274289,0.001894644694402814,-1.3738386631011963,52,8.843005039999998
1715,468.58,220,89686,0.0003,0.7208271026611328,89585,0.0017798736225813627,0.0026014484465122223,-1.467975378036499,52,10.20552479
1754,483.74,224,91761,0.0003,0.03965200483798981,91660,0.014687024056911469,0.0026862742379307747,-1.6272315979003906,52,10.969620880000003
1789,495.86,228,93600,0.0003,0.539978563785553,93499,0.003394762985408306,0.0030022135470062494,-2.1358673572540283,52,12.313501139999998
1837,516.7,232,96200,0.0003,1.6196569204330444,96099,0.0035103661939501762,0.003740470390766859,-2.2599053382873535,52,14.787194620000001
1886,507.0,236,98800,0.0003,0.9851161241531372,98699,0.013081267476081848,0.004025171510875225,-2.889500141143799,52,18.36216958
